hpi_flavor,frequency,place_name,yr,period,index_nsa
all-transactions,quarterly,Alaska,1975,1,61.52
all-transactions,quarterly,Alaska,1975,2,63.05
all-transactions,quarterly,Alaska,1975,3,67.74
all-transactions,quarterly,Alaska,1975,4,66.14
all-transactions,quarterly,Alaska,1976,1,69.71
all-transactions,quarterly,Alaska,1976,2,71.4
all-transactions,quarterly,Alaska,1976,3,73.44
all-transactions,quarterly,Alaska,1976,4,73.94
all-transactions,quarterly,Alaska,1977,1,78.35
all-transactions,quarterly,Alaska,1977,2,75.73
all-transactions,quarterly,Alaska,1977,3,77.87
all-transactions,quarterly,Alaska,1977,4,79.84
all-transactions,quarterly,Alaska,1978,1,76.44
all-transactions,quarterly,Alaska,1978,2,85.39
all-transactions,quarterly,Alaska,1978,3,87.1
all-transactions,quarterly,Alaska,1978,4,86.35
all-transactions,quarterly,Alaska,1979,1,88.13
all-transactions,quarterly,Alaska,1979,2,99.59
all-transactions,quarterly,Alaska,1979,3,95.68
all-transactions,quarterly,Alaska,1979,4,94.64
all-transactions,quarterly,Alaska,1980,1,100
all-transactions,quarterly,Alaska,1980,2,82.17
all-transactions,quarterly,Alaska,1980,3,71.31
all-transactions,quarterly,Alaska,1980,4,92.12
all-transactions,quarterly,Alaska,1981,1,87.26
all-transactions,quarterly,Alaska,1981,2,107.19
all-transactions,quarterly,Alaska,1981,3,114.94
all-transactions,quarterly,Alaska,1981,4,127.32
all-transactions,quarterly,Alaska,1982,1,134.39
all-transactions,quarterly,Alaska,1982,2,128.55
all-transactions,quarterly,Alaska,1982,3,139.11
all-transactions,quarterly,Alaska,1982,4,137.92
all-transactions,quarterly,Alaska,1983,1,137.14
all-transactions,quarterly,Alaska,1983,2,138.87
all-transactions,quarterly,Alaska,1983,3,144.57
all-transactions,quarterly,Alaska,1983,4,144.26
all-transactions,quarterly,Alaska,1984,1,148.13
all-transactions,quarterly,Alaska,1984,2,146.29
all-transactions,quarterly,Alaska,1984,3,152.53
all-transactions,quarterly,Alaska,1984,4,150.52
all-transactions,quarterly,Alaska,1985,1,143.23
all-transactions,quarterly,Alaska,1985,2,143.36
all-transactions,quarterly,Alaska,1985,3,143.73
all-transactions,quarterly,Alaska,1985,4,140.12
all-transactions,quarterly,Alaska,1986,1,140.88
all-transactions,quarterly,Alaska,1986,2,143.2
all-transactions,quarterly,Alaska,1986,3,138.66
all-transactions,quarterly,Alaska,1986,4,135.35
all-transactions,quarterly,Alaska,1987,1,132.05
all-transactions,quarterly,Alaska,1987,2,122.73
all-transactions,quarterly,Alaska,1987,3,114.67
all-transactions,quarterly,Alaska,1987,4,103.59
all-transactions,quarterly,Alaska,1988,1,119.67
all-transactions,quarterly,Alaska,1988,2,113.69
all-transactions,quarterly,Alaska,1988,3,125.13
all-transactions,quarterly,Alaska,1988,4,130.5
all-transactions,quarterly,Alaska,1989,1,126.94
all-transactions,quarterly,Alaska,1989,2,102.74
all-transactions,quarterly,Alaska,1989,3,102.85
all-transactions,quarterly,Alaska,1989,4,100.65
all-transactions,quarterly,Alaska,1990,1,97.27
all-transactions,quarterly,Alaska,1990,2,110.67
all-transactions,quarterly,Alaska,1990,3,120.34
all-transactions,quarterly,Alaska,1990,4,117.64
all-transactions,quarterly,Alaska,1991,1,122.84
all-transactions,quarterly,Alaska,1991,2,125.7
all-transactions,quarterly,Alaska,1991,3,129.6
all-transactions,quarterly,Alaska,1991,4,129.86
all-transactions,quarterly,Alaska,1992,1,131.23
all-transactions,quarterly,Alaska,1992,2,132.67
all-transactions,quarterly,Alaska,1992,3,133.45
all-transactions,quarterly,Alaska,1992,4,134.21
all-transactions,quarterly,Alaska,1993,1,133.84
all-transactions,quarterly,Alaska,1993,2,134.38
all-transactions,quarterly,Alaska,1993,3,136.69
all-transactions,quarterly,Alaska,1993,4,137.41
all-transactions,quarterly,Alaska,1994,1,138.62
all-transactions,quarterly,Alaska,1994,2,141.78
all-transactions,quarterly,Alaska,1994,3,143.9
all-transactions,quarterly,Alaska,1994,4,142.6
all-transactions,quarterly,Alaska,1995,1,145.24
